Season,Seed,TeamID,TeamName
1985,W01,1207,Georgetown
1985,W02,1210,Georgia Tech
1985,W03,1228,Illinois
1985,W04,1260,Loyola-Chicago
1985,W05,1374,SMU
1985,W06,1208,Georgia
1985,W07,1393,Syracuse
1985,W08,1396,Temple
1985,W09,1439,Virginia Tech
1985,W10,1177,DePaul
1985,W11,1455,Wichita St
1985,W12,1330,Old Dominion
1985,W13,1233,Iona
1985,W14,1318,Northeastern
1985,W15,1273,Mercer
1985,W16,1250,Lehigh
1985,X01,1385,St John's
1985,X02,1433,VCU
1985,X03,1301,NC State
1985,X04,1424,UNLV
1985,X05,1449,Washington
1985,X06,1409,Tulsa
1985,X07,1104,Alabama
1985,X08,1234,Iowa
1985,X09,1116,Arkansas
1985,X10,1112,Arizona
1985,X11,1431,UTEP
1985,X12,1246,Kentucky
1985,X13,1361,San Diego St
1985,X14,1305,Nevada
1985,X15,1267,Marshall
1985,X16,1380,Southern Univ
1985,Y01,1328,Oklahoma
1985,Y02,1272,Memphis
1985,Y03,1181,Duke
1985,Y04,1326,Ohio St
1985,Y05,1256,Louisiana Tech
1985,Y06,1403,Texas Tech
1985,Y07,1412,UAB
1985,Y08,1425,USC
1985,Y09,1229,Illinois St
1985,Y10,1277,Michigan St
1985,Y11,1130,Boston College
1985,Y12,1338,Pittsburgh
1985,Y13,1235,Iowa St
1985,Y14,1337,Pepperdine
1985,Y15,1335,Penn
1985,Y16,1299,NC A&T
1985,Z01,1276,Michigan
1985,Z02,1314,North Carolina
1985,Z03,1242,Kansas
1985,Z04,1261,LSU
1985,Z05,1268,Maryland
1985,Z06,1345,Purdue
1985,Z07,1323,Notre Dame
1985,Z08,1437,Villanova
1985,Z09,1173,Dayton
1985,Z10,1333,Oregon St
1985,Z11,1120,Auburn
1985,Z12,1275,Miami OH
1985,Z13,1298,Navy
1985,Z14,1325,Ohio
1985,Z15,1292,MTSU
1985,Z16,1192,F Dickinson
1986,W01,1181,Duke
1986,W02,1393,Syracuse
1986,W03,1231,Indiana
1986,W04,1328,Oklahoma
1986,W05,1438,Virginia
1986,W06,1386,St Joseph's PA
1986,W07,1298,Navy
1986,W08,1330,Old Dominion
1986,W09,1452,West Virginia
1986,W10,1409,Tulsa
1986,W11,1350,Richmond
1986,W12,1177,DePaul
1986,W13,1318,Northeastern
1986,W14,1156,Cleveland St
1986,W15,1135,Brown
1986,W16,1290,MS Valley St
1986,X01,1242,Kansas
1986,X02,1276,Michigan
1986,X03,1323,Notre Dame
1986,X04,1207,Georgetown
1986,X05,1277,Michigan St
1986,X06,1301,NC State
1986,X07,1235,Iowa St
1986,X08,1239,Jacksonville
1986,X09,1396,Temple
1986,X10,1275,Miami OH
1986,X11,1234,Iowa
1986,X12,1449,Washington
1986,X13,1403,Texas Tech
1986,X14,1114,Ark Little Rock
1986,X15,1103,Akron
1986,X16,1299,NC A&T
1986,Y01,1246,Kentucky
1986,Y02,1210,Georgia Tech
1986,Y03,1272,Memphis
1986,Y04,1228,Illinois
1986,Y05,1104,Alabama
1986,Y06,1345,Purdue
1986,Y07,1439,Virginia Tech
1986,Y08,1443,WKU
1986,Y09,1304,Nebraska
1986,Y10,1437,Villanova
1986,Y11,1261,LSU
1986,Y12,1462,Xavier
1986,Y13,1193,Fairfield
1986,Y14,1123,Ball St
1986,Y15,1265,Marist
1986,Y16,1172,Davidson
1986,Z01,1385,St John's
1986,Z02,1257,Louisville
1986,Z03,1314,North Carolina
1986,Z04,1424,UNLV
1986,Z05,1268,Maryland
1986,Z06,1412,UAB
1986,Z07,1133,Bradley
1986,Z08,1120,Auburn
1986,Z09,1112,Arizona
1986,Z10,1431,UTEP
1986,Z11,1281,Missouri
1986,Z12,1337,Pepperdine
1986,Z13,1419,ULM
1986,Z14,1428,Utah
1986,Z15,1180,Drexel
1986,Z16,1286,Montana St
1987,W01,1314,North Carolina
1987,W02,1393,Syracuse
1987,W03,1345,Purdue
1987,W04,1395,TCU
1987,W05,1323,Notre Dame
1987,W06,1196,Florida
1987,W07,1452,West Virginia
1987,W08,1298,Navy
1987,W09,1276,Michigan
1987,W10,1443,WKU
1987,W11,1301,NC State
1987,W12,1292,MTSU
1987,W13,1267,Marshall
1987,W14,1318,Northeastern
1987,W15,1204,Ga Southern
1987,W16,1335,Penn
1987,X01,1207,Georgetown
1987,X02,1104,Alabama
1987,X03,1228,Illinois
1987,X04,1155,Clemson
1987,X05,1242,Kansas
1987,X06,1344,Providence
1987,X07,1309,New Orleans
1987,X08,1246,Kentucky
1987,X09,1326,Ohio St
1987,X10,1140,BYU
1987,X11,1412,UAB
1987,X12,1222,Houston
1987,X13,1283,Missouri St
1987,X14,1122,Austin Peay
1987,X15,1299,NC A&T
1987,X16,1137,Bucknell
1987,Y01,1231,Indiana
1987,Y02,1396,Temple
1987,Y03,1177,DePaul
1987,Y04,1281,Missouri
1987,Y05,1181,Duke
1987,Y06,1385,St John's
1987,Y07,1210,Georgia Tech
1987,Y08,1120,Auburn
1987,Y09,1360,San Diego
1987,Y10,1261,LSU
1987,Y11,1455,Wichita St
1987,Y12,1401,Texas A&M
1987,Y13,1462,Xavier
1987,Y14,1256,Louisiana Tech
1987,Y15,1380,Southern Univ
1987,Y16,1193,Fairfield
1987,Z01,1424,UNLV
1987,Z02,1234,Iowa
1987,Z03,1338,Pittsburgh
1987,Z04,1417,UCLA
1987,Z05,1438,Virginia
1987,Z06,1328,Oklahoma
1987,Z07,1431,UTEP
1987,Z08,1208,Georgia
1987,Z09,1243,Kansas St
1987,Z10,1112,Arizona
1987,Z11,1409,Tulsa
1987,Z12,1461,Wyoming
1987,Z13,1141,C Michigan
1987,Z14,1265,Marist
1987,Z15,1365,Santa Clara
1987,Z16,1226,Idaho St
1988,W01,1396,Temple
1988,W02,1181,Duke
1988,W03,1393,Syracuse
1988,W04,1231,Indiana
1988,W05,1210,Georgia Tech
1988,W06,1281,Missouri
1988,W07,1374,SMU
1988,W08,1207,Georgetown
1988,W09,1261,LSU
1988,W10,1323,Notre Dame
1988,W11,1348,Rhode Island
1988,W12,1235,Iowa St
1988,W13,1350,Richmond
1988,W14,1299,NC A&T
1988,W15,1131,Boston Univ
1988,W16,1250,Lehigh
1988,X01,1345,Purdue
1988,X02,1338,Pittsburgh
1988,X03,1301,NC State
1988,X04,1243,Kansas St
1988,X05,1177,DePaul
1988,X06,1242,Kansas
1988,X07,1435,Vanderbilt
1988,X08,1124,Baylor
1988,X09,1272,Memphis
1988,X10,1429,Utah St
1988,X11,1462,Xavier
1988,X12,1455,Wichita St
1988,X13,1247,La Salle
1988,X14,1293,Murray St
1988,X15,1185,E Michigan
1988,X16,1192,F Dickinson
1988,Y01,1328,Oklahoma
1988,Y02,1246,Kentucky
1988,Y03,1228,Illinois
1988,Y04,1140,BYU
1988,Y05,1257,Louisville
1988,Y06,1437,Villanova
1988,Y07,1268,Maryland
1988,Y08,1120,Auburn
1988,Y09,1133,Bradley
1988,Y10,1364,UC Santa Barbara
1988,Y11,1116,Arkansas
1988,Y12,1333,Oregon St
1988,Y13,1150,Charlotte
1988,Y14,1427,UT San Antonio
1988,Y15,1380,Southern Univ
1988,Y16,1151,Chattanooga
1988,Z01,1112,Arizona
1988,Z02,1314,North Carolina
1988,Z03,1276,Michigan
1988,Z04,1424,UNLV
1988,Z05,1234,Iowa
1988,Z06,1196,Florida
1988,Z07,1461,Wyoming
1988,Z08,1371,Seton Hall
1988,Z09,1431,UTEP
1988,Z10,1258,Loy Marymount
1988,Z11,1385,St John's
1988,Z12,1199,Florida St
1988,Z13,1283,Missouri St
1988,Z14,1129,Boise St
1988,Z15,1317,North Texas
1988,Z16,1165,Cornell
1989,W01,1207,Georgetown
1989,W02,1181,Duke
1989,W03,1390,Stanford
1989,W04,1234,Iowa
1989,W05,1301,NC State
1989,W06,1243,Kansas St
1989,W07,1452,West Virginia
1989,W08,1435,Vanderbilt
1989,W09,1323,Notre Dame
1989,W10,1397,Tennessee
1989,W11,1278,Minnesota
1989,W12,1376,South Carolina
1989,W13,1353,Rutgers
1989,W14,1373,Siena
1989,W15,1354,S Carolina St
1989,W16,1343,Princeton
1989,X01,1112,Arizona
1989,X02,1231,Indiana
1989,X03,1371,Seton Hall
1989,X04,1424,UNLV
1989,X05,1272,Memphis
1989,X06,1333,Oregon St
1989,X07,1431,UTEP
1989,X08,1388,St Mary's CA
1989,X09,1155,Clemson
1989,X10,1261,LSU
1989,X11,1191,Evansville
1989,X12,1177,DePaul
1989,X13,1225,Idaho
1989,X14,1283,Missouri St
1989,X15,1206,George Mason
1989,X16,1352,Robert Morris
1989,Y01,1228,Illinois
1989,Y02,1393,Syracuse
1989,Y03,1281,Missouri
1989,Y04,1257,Louisville
1989,Y05,1116,Arkansas
