Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WinnerTeam,LoserTeam
1985,20,1228,81,1328,64,N,0,Illinois,Oklahoma
1985,25,1106,77,1354,70,H,0,Alabama St,S Carolina St
1985,25,1112,63,1223,56,H,0,Arizona,Houston Chr
1985,25,1165,70,1432,54,H,0,Cornell,Utica
1985,25,1192,86,1447,74,H,0,F Dickinson,Wagner
1985,25,1218,79,1337,78,H,0,Hawaii,Pepperdine
1985,25,1228,64,1226,44,N,0,Illinois,Idaho St
1985,25,1242,58,1268,56,N,0,Kansas,Maryland
1985,25,1260,98,1133,80,H,0,Loyola-Chicago,Bradley
1985,25,1305,97,1424,89,H,0,Nevada,UNLV
1985,25,1307,103,1288,71,H,0,New Mexico,Morgan St
1985,25,1344,75,1438,71,N,0,Providence,Virginia
1985,25,1374,91,1411,72,H,0,SMU,TX Southern
1985,25,1412,70,1397,65,N,0,UAB,Tennessee
1985,25,1417,87,1225,58,H,0,UCLA,Idaho
1985,26,1116,65,1368,62,H,0,Arkansas,SE Louisiana
1985,26,1120,92,1391,50,H,0,Auburn,Stetson
1985,26,1135,65,1306,60,A,0,Brown,New Hampshire
1985,26,1143,58,1388,53,H,0,California,St Mary's CA
1985,26,1153,50,1184,48,H,0,Cincinnati,E Kentucky
1985,26,1165,47,1159,40,A,0,Cornell,Colgate
1985,26,1171,55,1216,52,H,0,Dartmouth,Hartford
1985,26,1173,76,1134,56,H,0,Dayton,Brooklyn
1985,26,1177,59,1296,58,H,0,DePaul,N Illinois
1985,26,1193,79,1265,76,A,0,Fairfield,Marist
1985,26,1196,106,1416,55,H,0,Florida,UCF
1985,26,1206,95,1137,77,H,0,George Mason,Bucknell
1985,26,1210,79,1149,66,H,0,Georgia Tech,Charleston So
1985,26,1211,64,1102,59,A,0,Gonzaga,Air Force
1985,26,1234,76,1114,47,H,0,Iowa,Ark Little Rock
1985,26,1242,66,1332,49,N,0,Kansas,Oregon
1985,26,1243,72,1317,50,H,0,Kansas St,North Texas
1985,26,1257,75,1231,64,A,0,Louisville,Indiana
1985,26,1277,80,1145,71,A,0,Michigan St,Canisius
1985,26,1278,75,1453,71,H,0,Minnesota,WI Green Bay
1985,26,1286,109,1186,64,H,0,Montana St,E Washington
1985,26,1301,94,1144,54,H,0,NC State,Campbell
1985,26,1325,94,1384,84,H,0,Ohio,St Francis PA
1985,26,1326,85,1248,67,H,0,Ohio St,Lafayette
1985,26,1328,94,1287,48,H,0,Oklahoma,Morehead St
1985,26,1339,73,1334,61,H,0,Portland,Pacific
1985,26,1365,68,1417,60,A,0,Santa Clara,UCLA
1985,26,1375,104,1126,68,H,0,South Alabama,Bethune-Cookman
1985,26,1397,65,1226,59,N,0,Tennessee,Idaho St
1985,26,1403,70,1152,67,H,0,Texas Tech,Chicago St
1985,26,1412,59,1228,52,N,0,UAB,Illinois
1985,26,1423,58,1347,42,H,0,UNC Wilmington,Radford
1985,26,1429,93,1428,92,A,0,Utah St,Utah
1985,26,1437,80,1436,56,A,0,Villanova,Vermont
1985,26,1438,69,1172,65,N,0,Virginia,Davidson
1985,26,1439,102,1330,76,H,0,Virginia Tech,Old Dominion
1985,26,1443,93,1121,57,H,0,WKU,Augusta
1985,26,1455,70,1249,65,A,0,Wichita St,Lamar
1985,27,1228,75,1332,72,N,3,Illinois,Oregon
1985,27,1241,67,1440,63,H,0,James Madison,VMI
1985,27,1268,72,1397,49,N,0,Maryland,Tennessee
1985,27,1314,81,1200,65,N,0,North Carolina,Fordham
1985,27,1323,67,1264,56,H,0,Notre Dame,Manhattan
1985,27,1412,50,1242,46,N,0,UAB,Kansas
1985,27,1458,93,1288,78,H,0,Wisconsin,Morgan St
1985,28,1104,81,1137,56,H,0,Alabama,Bucknell
1985,28,1152,60,1455,49,A,0,Chicago St,Wichita St
1985,28,1160,80,1414,73,H,0,Colorado,UC Irvine
1985,28,1181,97,1387,64,A,0,Duke,St Louis
1985,28,1186,75,1183,71,H,0,E Washington,E Illinois
1985,28,1234,62,1211,40,H,0,Iowa,Gonzaga
1985,28,1247,85,1284,67,H,0,La Salle,Monmouth NJ
1985,28,1249,85,1402,75,A,0,Lamar,Texas St
1985,28,1276,80,1178,66,H,0,Michigan,Detroit
1985,28,1301,93,1364,70,H,0,NC State,UC Santa Barbara
1985,28,1307,64,1411,63,H,0,New Mexico,TX Southern
1985,28,1328,90,1114,63,H,0,Oklahoma,Ark Little Rock
1985,28,1338,104,1384,88,H,0,Pittsburgh,St Francis PA
1985,28,1368,76,1290,67,H,0,SE Louisiana,MS Valley St
1985,28,1376,77,1121,52,H,0,South Carolina,Augusta
1985,28,1378,93,1126,50,H,0,South Florida,Bethune-Cookman
1985,28,1391,60,1202,58,H,0,Stetson,Furman
1985,28,1396,75,1180,62,H,0,Temple,Drexel
1985,28,1398,60,1287,42,H,0,Tennessee St,Morehead St
1985,28,1399,68,1155,67,A,0,Tennessee Tech,Clemson
1985,28,1428,89,1258,85,H,0,Utah,Loy Marymount
1985,28,1448,81,1192,67,H,0,Wake Forest,F Dickinson
1985,28,1464,71,1134,58,H,0,Youngstown St,Brooklyn
1985,29,1116,59,1416,45,N,0,Arkansas,UCF
1985,29,1124,99,1341,77,H,0,Baylor,Prairie View
1985,29,1130,86,1306,63,A,0,Boston College,New Hampshire
1985,29,1193,66,1135,63,H,0,Fairfield,Brown
1985,29,1200,78,1254,67,H,0,Fordham,LIU Brooklyn
1985,29,1204,72,1347,69,A,0,Ga Southern,Radford
1985,29,1210,74,1151,58,H,0,Georgia Tech,Chattanooga
1985,29,1233,80,1220,72,H,0,Iona,Hofstra
1985,29,1246,63,1405,54,H,0,Kentucky,Toledo
1985,29,1280,77,1238,46,H,0,Mississippi St,Jackson St
1985,29,1308,66,1431,63,H,0,New Mexico St,UTEP
1985,29,1337,81,1253,64,H,0,Pepperdine,Long Beach St
1985,29,1339,82,1363,81,A,0,Portland,San Jose St
1985,29,1348,64,1216,59,H,0,Rhode Island,Hartford
1985,29,1373,71,1432,56,H,0,Siena,Utica
1985,29,1375,109,1288,57,H,0,South Alabama,Morgan St
1985,29,1379,74,1270,56,A,0,Southern Miss,McNeese St
1985,29,1409,86,1331,82,A,0,Tulsa,Oral Roberts
1985,29,1444,90,1434,57,A,0,W Michigan,Valparaiso
1985,29,1451,89,1365,61,H,0,Weber St,Santa Clara
1985,30,1139,78,1442,67,A,0,Butler,W Illinois
